Car Name,Reviews Count,Fuel Type,Engine Displacement (cc),No. of cylinder,Seating Capacity,TransmissionType,Fuel Tank Capacity,Body Type,Rating,Starting Price,Ending Price,Max Torque (Nm),Max Torque (RPM),Max Power (BHP),Max Power (RPM)
Honda City 4th Generation,1067 reviews,Petrol,1497,4,5,Manual,40,Sedan,4.5,950000,1000000,145,4600,117.6,6600
Land Rover Range Rover,17 reviews,Petrol,4367,8,7,Automatic,90,SUV,4.5,23900000,41700000,700,3000,345.98,4000
Tata Tiago,435 reviews,CNG,1199,3,5,Manual,60,Hatchback,4.5,540000,782000,95,3500,72,6000
Hyundai i20,432 reviews,Petrol,998,3,5,Automatic,37,Hatchback,3.5,703000,1154000,171.62,4000,118.36,6000
Mahindra XUV300,2245 reviews,Diesel,1497,4,5,Automatic,42,SUV,4.5,841000,1407000,300,2500,115,3750
MG Hector,200 reviews,Diesel,1956,4,5,Manual,60,SUV,4,1415000,2011000,350,2500,167.68,3750
Tata Altroz,1025 reviews,Diesel,1497,4,5,Manual,37,Hatchback,4.5,630000,1025000,200,3000,88.77,4000
Mahindra Scorpio Classic,14 reviews,Diesel,2184,4,7,Manual,60,SUV,4.5,1199000,1549000,300,2800,130.07,3750
Hyundai Verna,234 reviews,Diesel,1493,4,5,Automatic,45,Sedan,4.5,941000,1545000,250,2750,113.45,4000
Citroen C3,57 reviews,Petrol,1199,3,5,Manual,30,Hatchback,4.5,571000,806000,190,1750,108.62,5500
Honda City,162 reviews,Diesel,1498,4,5,Manual,40,Sedan,4.5,1157000,1552000,200,1750,97.89,3600
Maruti Celerio,89 reviews,Petrol,998,3,5,Automatic,32,Hatchback,3.5,525000,700000,89,3500,65.71,5500
Nissan Magnite,278 reviews,Petrol,999,3,5,Automatic,40,SUV,4.5,597000,1079000,152,4400,98.63,5000
Renault KWID,545 reviews,Petrol,999,3,5,Automatic,28,Hatchback,4.5,464000,599000,91,4250,67.06,5500
Land Rover Defender,13 reviews,Petrol,4997,4,7,Automatic,89,SUV,4.5,8072000,21900000,650,2500,296.36,4000
Maruti Alto 800,437 reviews,CNG,796,3,5,Manual,60,Hatchback,4.5,339000,503000,60,3500,40.36,6000
Hyundai Kona Electric,40 reviews,Electric,0,0,5,Electric,0,SUV,4.5,2384000,2403000,395,0,134.1,0
Tata Tigor,136 reviews,CNG,1199,3,5,Manual,60,Sedan,4.5,600000,859000,95,3500,72.4,6000
Renault Kiger,228 reviews,Petrol,999,3,5,Automatic,40,SUV,4.5,599000,1062000,152,4400,98.63,5000
Maruti S-Presso,301 reviews,Petrol,998,3,5,Automatic,27,Hatchback,4.5,425000,599000,89,3500,65.71,5500
MG Astor,101 reviews,Petrol,1349,3,5,Automatic,45,SUV,4.5,1022000,1813000,220,3600,138.08,5600
Lamborghini Urus,33 reviews,Petrol,3996,8,5,Automatic,75,SUV,4.5,31500000,34300000,850,4500,641,6000
Honda Amaze,85 reviews,Diesel,1498,4,5,Automatic,35,Sedan,4.5,663000,1150000,160,1750,79.12,3600
Renault Triber,774 reviews,Petrol,999,3,7,Automatic,40,MUV,4.5,592000,851000,96,3500,71,6250
Hyundai Alcazar,207 reviews,Diesel,1493,4,7,Automatic,50,SUV,4,1589000,2025000,250,2750,113.42,4000
Hyundai Aura,261 reviews,Petrol,998,3,5,Manual,37,Sedan,4.5,609000,887000,172,4000,98.63,6000
Volkswagen Virtus,69 reviews,Petrol,1498,4,5,Automatic,45,Sedan,4.5,1122000,1792000,250,3500,147.51,6000
Skoda Slavia,52 reviews,Petrol,1498,4,5,Automatic,45,Sedan,4.5,1099000,1839000,250,3500,147.52,6000
Maruti Ignis,461 reviews,Petrol,1197,4,5,Automatic,32,Hatchback,4.5,535000,772000,113,4200,81.8,6000
Mercedes-Benz GLA,12 reviews,Diesel,1950,4,5,Automatic,0,SUV,4.5,4490000,4890000,400,2600,187.74,3800
Volvo XC90,35 reviews,Petrol,1969,4,7,Automatic,68,Hybrid,4.5,9390000,9665000,640,1740,400,0
Skoda Kushaq,172 reviews,Petrol,1498,4,5,Automatic,50,SUV,4.5,1129000,1949000,250,3500,147.51,6000
Maruti XL6,58 reviews,Petrol,1462,4,6,Automatic,45,MUV,4.5,1129000,1455000,136.8,4400,101.65,6000
Jeep Wrangler,18 reviews,Petrol,1998,4,5,Automatic,0,SUV,4.5,5635000,6035000,400,3000,268,5250
Maruti Eeco,264 reviews,Petrol,1196,4,7,Manual,65,Minivan,4.5,463000,594000,85,3000,61.68,6000
Force Gurkha,28 reviews,Diesel,2596,4,4,Manual,63,SUV,4.5,1449000,1449000,250,2400,89.84,3200
Maruti S-Cross,77 reviews,Petrol,1462,4,5,Automatic,48,SUV,4.5,895000,1292000,138,4400,103.25,6000
Maruti Ciaz,666 reviews,Petrol,1462,4,5,Automatic,43,Sedan,4.5,899000,1198000,138,4400,103.25,6000
Hyundai Santro,532 reviews,CNG,1086,4,5,Manual,60,Hatchback,4.5,490000,642000,85.3,4501,59.17,5500
Volkswagen Taigun,68 reviews,Petrol,1498,4,5,Automatic,50,SUV,4.5,1140000,1860000,250,3500,147.51,6000
BMW X7,15 reviews,Diesel,2993,6,7,Automatic,80,SUV,4.5,11800000,17800000,760,3000,394.26,4400
Audi Q7,9 reviews,Petrol,2995,6,7,Automatic,0,SUV,4.5,8249000,8808000,500,4500,335.25,6400
Toyota Vellfire,13 reviews,Petrol,2494,4,7,Automatic,58,MUV,4.5,9260000,9260000,198,4000,115.32,4700
Toyota Hilux,13 reviews,Diesel,2755,4,5,Automatic,80,Pickup Truck,4.5,3399000,3680000,500,2800,201.15,3400
MG Gloster,74 reviews,Diesel,1996,4,7,Automatic,75,SUV,4.5,3150000,3950000,480,2400,215.01,4000
Lamborghini Aventador,52 reviews,Petrol,6498,12,2,Automatic,90,Coupe,4.5,62500000,90000000,720,6750,759.01,8500
BMW X1,40 reviews,Diesel,1995,4,5,Automatic,51,SUV,4.5,4150000,4450000,400,2500,187.74,6000
BMW X5,28 reviews,Petrol,2998,6,5,Automatic,0,SUV,4.5,7990000,9590000,450,5200,335.26,6500
Toyota Camry,6 reviews,Petrol,2498,4,5,Automatic,0,Sedan,4.5,4435000,4435000,221,5200,175.67,5700
Volkswagen Tiguan,5 reviews,Petrol,1984,4,5,Automatic,60,SUV,4.5,3279000,3280000,320,4100,187.74,6000
Rolls-Royce Ghost,15 reviews,Petrol,6750,12,5,Automatic,0,Sedan,4.5,69500000,79500000,820,1500,563,5250
Skoda Octavia,20 reviews,Petrol,1984,4,5,Automatic,50,Sedan,4.5,2685000,2985000,320,3990,187.74,6000
Skoda Superb,22 reviews,Petrol,1984,4,5,Automatic,66,Sedan,4.5,3349000,3659000,320,4200,187.74,6000
Audi A6,19 reviews,Petrol,1984,4,5,Automatic,73,Sedan,4.5,5999000,6599000,370,4500,241.3,6500
Volvo XC40,20 reviews,Petrol,1969,4,5,Automatic,54,SUV,4.5,4450000,4450000,300,0,187.4,0
Kia EV6,15 reviews,Electric,0,0,5,Electric,0,SUV,4.5,5995000,6495000,605,0,320.55,0
Volvo S90,8 reviews,Petrol,1969,4,5,Automatic,60,Sedan,4.5,6590000,6590000,350,0,246.58,0
Honda Jazz,41 reviews,Petrol,1199,4,5,Automatic,40,Hatchback,4.5,801000,1032000,110,4800,88.5,6000
